"task","metric","parameter","correlation","p_value","r_squared","n_obs","sig"
"VGR","transition_probability","LH_posture_speed_m_s",0.238705089981793,0.310805444291477,0.056980119983216,20,""
"VGR","Dwell_Time","LH_speed_maxima_count",0.237593984962406,0.311680533181315,0.056450901690316,20,""
"VGR","Occurrence","RH_posture_speed_m_s",-0.237862402278237,0.312567912622241,0.0565785224175737,20,""
"BOB","transition_probability","x3_hand_speed_diff_m_s",-0.243409866244011,0.315293006209523,0.0592483629849271,19,""
"VGR","Occurrence","LH_reaction_time_s",-0.234098756672568,0.320512728955475,0.0548022278756424,20,""
"OH","Dwell_Time","movement_area_right_hand_m_2",-0.231578947368421,0.324387986726912,0.0536288088642659,20,""
"VGR","transition_probability","LH_initial_speed_ratio",-0.231449467999811,0.326176822643232,0.0535688562373956,20,""
"BOB","transition_probability","x1_reaction_time_abs_diff_s",0.244961534717483,0.327230382509057,0.0600061534911447,18,""
"OH","Dwell_Time","hand_selection_overlap",-0.227067669172932,0.334122926404918,0.0515597263836282,20,""
"VGR","Occurrence","LH_posture_speed_m_s",-0.224313278097831,0.341726945945915,0.0503164467309948,20,""
"BOB","Occurrence","x3_hand_speed_diff_m_s",0.229148464084258,0.345340906028182,0.0525090185921746,19,""
"VGR","transition_probability","RH_initial_direction_angle_rad",0.219879767428024,0.351602089721649,0.0483471121242019,20,""
"BOB","Dwell_Time","x1_hand_speed_diff_m_s",0.22280701754386,0.357626943507341,0.0496429670667898,19,""
"OH","Occurrence","hand_transition",-0.215280528644227,0.362018807461707,0.0463457060133378,20,""
"VGR","Dwell_Time","LH_path_length_ratio",0.213533834586466,0.364372006474801,0.0455966985132003,20,""
"BOB","Occurrence","x3_bar_length_variability",-0.200978675342687,0.395519845664738,0.0403924279425013,20,""
"APM","Dwell_Time","RH_shift_x_m",-0.2,0.396168703485037,0.04,20,""
"VGR","Dwell_Time","RH_speed_maxima_count",0.2,0.396168703485037,0.04,20,""
"BOB","transition_probability","x1_bar_length_variability",0.200301431972104,0.397147394123575,0.0401206636500754,20,""
"APM","transition_probability","RH_shift_y_m",0.199548419069953,0.398961357052997,0.0398195715533177,20,""
"BOB","transition_probability","x1_mean_movement_time_s",-0.195783354559199,0.408099240590819,0.0383311219224532,20,""
"BOB","Dwell_Time","x3_drops_targets",0.195534800320956,0.408706464613609,0.0382338581365561,20,""
"BOB","transition_probability","x2_bar_length_variability",0.189759251341993,0.422953982896008,0.0360085734698738,20,""
"VGR","Occurrence","LH_initial_speed_ratio",0.187422859664427,0.428792067493719,0.0351273283247916,20,""
"VGR","Dwell_Time","RH_initial_direction_angle_rad",0.184962406015038,0.433273061785395,0.0342110916388716,20,""
"VGR","transition_probability","RH_speed_maxima_count",-0.184488161026938,0.436185431107662,0.0340358815591014,20,""
